Delay_piperidine,Delay_piperidinium tosylate,Delay_morpholine,Delay_morpholinium tosylate,Delay_p-methoxy,Delay_p-methoxy tosylate,Delay_acetophenone cyclohexane,Delay_acetophenone
-10.1411,-10.4411,-10.1411,-10.1411,-10.2611,-10.3111,-10.2411,-10.4411
-9.64211,-9.94211,-9.64211,-9.64211,-9.76311,-9.81311,-9.74211,-9.94211
-9.14311,-9.44011,-9.14211,-9.14011,-9.26011,-9.31211,-9.24011,-9.44011
-8.64411,-8.94111,-8.64011,-8.64211,-8.76511,-8.81511,-8.74111,-8.94211
-8.14311,-8.44211,-8.14111,-8.14211,-8.26611,-8.31611,-8.24011,-8.43911
-7.64611,-7.94311,-7.64011,-7.64311,-7.76711,-7.81711,-7.74311,-7.94311
-7.14611,-7.44411,-7.14411,-7.14211,-7.26411,-7.31411,-7.24211,-7.44411
-6.64711,-6.94411,-6.64311,-6.64411,-6.76711,-6.81711,-6.74411,-6.94411
-6.14811,-6.44311,-6.14511,-6.14611,-6.26811,-6.31811,-6.24411,-6.44311
-5.65011,-5.94711,-5.64611,-5.64711,-5.76911,-5.81911,-5.74611,-5.94511
-5.14811,-5.44811,-5.14511,-5.14511,-5.27011,-5.32011,-5.24611,-5.44611
-4.65011,-4.94711,-4.64711,-4.64711,-4.77011,-4.81811,-4.74811,-4.94611
-4.15011,-4.44811,-4.14811,-4.14411,-4.27311,-4.32311,-4.24911,-4.44511
-3.65111,-3.95011,-3.64611,-3.64611,-3.77411,-3.82411,-3.75111,-3.94811
-3.14811,-3.45011,-3.14711,-3.14411,-3.27511,-3.32511,-3.24711,-3.44611
-2.65011,-2.94811,-2.64711,-2.64811,-2.77611,-2.82611,-2.74811,-2.94811
-2.15011,-2.45211,-2.15211,-2.14811,-2.27611,-2.32611,-2.24911,-2.45011
-1.64711,-1.95311,-1.65011,-1.65011,-1.77711,-1.82611,-1.74911,-1.95011
-1.15111,-1.45411,-1.15211,-1.14811,-1.27811,-1.32711,-1.25011,-1.45011
-0.650112,-0.952112,-0.652112,-0.650112,-0.779112,-0.825112,-0.750112,-0.949112
-0.153112,-0.454112,-0.150112,-0.148112,-0.277112,-0.329112,-0.252112,-0.450112
-0.104112,-0.404112,-0.105112,-0.101112,-0.229112,-0.280112,-0.203112,-0.401112
-0.0541119,-0.356112,-0.0541119,-0.0501119,-0.178112,-0.230112,-0.153112,-0.352112
-0.0021119,-0.306112,-0.0021119,0.00188811,-0.122112,-0.179112,-0.102112,-0.296112
0.0478881,-0.250112,0.0478881,0.0528881,-0.0751119,-0.128112,-0.0501119,-0.244112
0.0998881,-0.202112,0.0998881,0.104888,-0.0231119,-0.0761119,0.0018881,-0.197112
0.150888,-0.151112,0.150888,0.155888,0.0278881,-0.0251119,0.0528881,-0.144112
0.202888,-0.100112,0.201888,0.207888,0.0838881,0.0308881,0.103888,-0.0901119
0.253888,-0.0481119,0.257888,0.258888,0.130888,0.0778881,0.155888,-0.0421119
0.305888,0.0038881,0.305888,0.309888,0.182888,0.129888,0.206888,0.00988811
0.357888,0.0558881,0.357888,0.361888,0.233888,0.180888,0.257888,0.0608881
0.407888,0.105888,0.409888,0.412888,0.285888,0.233888,0.309888,0.111888
0.459888,0.161888,0.463888,0.467888,0.335888,0.283888,0.364888,0.166888
