Std_1,,Std_2,,Std_3,,Std_4,,Std_5,,Std_6,,Std_7_6_2,,Std_7,,Std_8,,Std_9,,Std_10,,Std_11,,Std_12,,Std_13,,Std_14,,Std_15,,Std_16,,Std_17,,Std_18,,Std_19,,Std_20,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0369873,-0.001234970405,800.0369873,-0.000696446863,800.0369873,-0.001215868862,800.0369873,-0.001185304485,800.0369873,-0.001650971361,800.0369873,-0.00129247678,800.0369873,-0.0001239243284,800.0369873,-0.001486723893,800.0369873,-0.0007328860811,800.0369873,-0.001417684252,800.0369873,-0.001129126409,800.0369873,-0.000217077235,800.0369873,-0.001302697114,800.0369873,-0.001485846704,800.0369873,-0.000569118245,800.0369873,-0.001008329564,800.0369873,-0.0009422100848,800.0369873,0.0004916196922,800.0369873,0.001761795487,800.0369873,-0.001496268786,800.0369873,-0.001247308683,
799.0648804,-0.001618116512,799.0648804,4.022865687E-5,799.0648804,-0.0006888484932,799.0648804,0.0003947073419,799.0648804,-8.199900913E-5,799.0648804,-0.001578037394,799.0648804,-0.000787875033,799.0648804,0.0007823310443,799.0648804,-0.001003732439,799.0648804,-0.001395133091,799.0648804,-0.00177086785,799.0648804,-7.071470463E-5,799.0648804,-0.001866039471,799.0648804,-0.0008101994172,799.0648804,-0.001690940466,799.0648804,-0.002418818651,799.0648804,0.0001129033844,799.0648804,-0.001418458298,799.0648804,0.001527833752,799.0648804,-0.001277971896,799.0648804,-0.002629544586,
797.9534302,-0.0005227888469,797.9534302,-0.001012771623,797.9534302,-0.001272448571,797.9534302,-0.0005236162106,797.9534302,-0.001779684681,797.9534302,-0.002004738199,797.9534302,-0.002805860247,797.9534302,0.001089326339,797.9534302,-0.002557804342,797.9534302,-0.002035554266,797.9534302,-0.001223922591,797.9534302,0.0002762652584,797.9534302,-0.0004933650489,797.9534302,-0.001282720943,797.9534302,-0.0004941407824,797.9534302,-0.0001934803877,797.9534302,-0.001734515536,797.9534302,-0.0002525736054,797.9534302,0.003667616518,797.9534302,-0.002100064885,797.9534302,-0.002430042019,
796.9805298,-0.0009755810024,796.9805298,-0.001786696841,796.9805298,-0.00229776185,796.9805298,-0.001300632372,796.9805298,-0.001827375265,796.9805298,-0.003112120088,796.9805298,-0.001416342566,796.9805298,-0.0004270637583,796.9805298,-0.001617652248,796.9805298,-0.001143739675,796.9805298,-0.002544473857,796.9805298,0.001324194367,796.9805298,-0.001346930512,796.9805298,-0.0006423251471,796.9805298,-0.0006323995185,796.9805298,-0.0007832756964,796.9805298,2.769886851E-5,796.9805298,-0.0007598646334,796.9805298,0.001545888255,796.9805298,-0.0007447216776,796.9805298,-0.0002979488054,
796.0072632,-0.0007465822855,796.0072632,-0.001867585932,796.0072632,-0.001286953688,796.0072632,-0.001577727962,796.0072632,-0.0001017717004,796.0072632,-0.001479810104,796.0072632,0.0002440179087,796.0072632,-0.0004231846542,796.0072632,-0.002785901539,796.0072632,-0.001956294058,796.0072632,-0.001769991242,796.0072632,0.000498254085,796.0072632,-0.00233798055,796.0072632,-0.001844490995,796.0072632,-0.00093967875,796.0072632,-0.0004460449563,796.0072632,0.0003084890777,796.0072632,-0.002428446198,796.0072632,0.002292521764,796.0072632,-0.001723583555,796.0072632,-0.0007821904146,
795.0336304,-0.001257065334,795.0336304,-0.001287056832,795.0336304,-0.0004780577146,795.0336304,-0.0008554647211,795.0336304,-0.002203663578,795.0336304,-0.0009430366335,795.0336304,-0.002467468614,795.0336304,-0.000529304205,795.0336304,-0.001734670252,795.0336304,-0.001111362828,795.0336304,-0.0009855504613,795.0336304,-0.0006547835656,795.0336304,-0.0002759085328,795.0336304,-0.001562561956,795.0336304,-0.001992009347,795.0336304,-0.002187901177,795.0336304,-0.0003172460711,795.0336304,0.0002722244826,795.0336304,0.001372024533,795.0336304,-0.002104598796,795.0336304,-0.000374305062,
794.0596313,-0.0003156940511,794.0596313,-0.0009339444805,794.0596313,-0.00206337939,794.0596313,-0.001314155874,794.0596313,-0.003073618049,794.0596313,-0.004452830181,794.0596313,-0.003079683986,794.0596313,-0.0006616587634,794.0596313,-0.002280612476,794.0596313,-0.002334427554,794.0596313,-0.001959850313,794.0596313,-0.0006395852542,794.0596313,-0.001785459346,794.0596313,-0.001437654253,794.0596313,-0.0006228355342,794.0596313,-0.002331028925,794.0596313,-0.00224085222,794.0596313,-0.001701099798,794.0596313,0.002629910596,794.0596313,-0.001493018353,794.0596313,-0.003118185559,
792.9459839,-0.001463453867,792.9459839,-0.001314465539,792.9459839,-0.0005162216839,792.9459839,-0.001306671533,792.9459839,-0.001139866887,792.9459839,-0.001871091314,792.9459839,-0.0006518886657,792.9459839,-0.0009909741348,792.9459839,-0.001668867655,792.9459839,-0.002489089034,792.9459839,-0.002975985641,792.9459839,-0.0007078183116,792.9459839,-0.001972837839,792.9459839,-0.002128091874,792.9459839,-0.001744519221,792.9459839,-0.0008356230101,792.9459839,0.0005376476911,792.9459839,-0.002609166084,792.9459839,0.002556527033,792.9459839,-0.001360555761,792.9459839,-0.001347653102,
791.9711304,-0.001370206708,791.9711304,-0.001745498856,791.9711304,-0.001195217483,791.9711304,-0.002224575961,791.9711304,-0.001899803407,791.9711304,-0.001844645711,791.9711304,-0.003203503788,791.9711304,-0.001122155343,791.9711304,-0.002848912263,791.9711304,-0.002835642081,791.9711304,-0.00267451792,791.9711304,-0.001269919099,791.9711304,-0.001327420818,791.9711304,-0.002862439025,791.9711304,-0.001860472024,791.9711304,-0.002016281709,791.9711304,-0.0007388814702,791.9711304,-0.0005902129924,791.9711304,0.0004768482468,791.9711304,-0.0008068404859,791.9711304,-0.001080842689,
790.9959717,-0.002365425928,790.9959717,-0.002190940315,790.9959717,-0.002386588138,790.9959717,-0.00165695406,790.9959717,-0.002640196588,790.9959717,-0.003177241888,790.9959717,-0.0005403180839,790.9959717,-0.001417993917,790.9959717,-0.003174055368,790.9959717,-0.003052232321,790.9959717,-0.002359349979,790.9959717,-0.001285043778,790.9959717,-0.002507620025,790.9959717,-0.001270693494,790.9959717,-0.002951046918,790.9959717,-0.001034206362,790.9959717,-0.002241985174,790.9959717,-0.001770300674,790.9959717,0.0002601283195,790.9959717,-0.003715009894,790.9959717,-0.001924596261,
790.0203857,-0.001610224717,790.0203857,-0.002662734594,790.0203857,-0.003430594457,790.0203857,-0.00225589145,790.0203857,-0.0007755754632,790.0203857,-0.002507826081,790.0203857,-0.002406719606,790.0203857,-0.001133670565,790.0203857,-0.000810612808,790.0203857,-0.003283512779,790.0203857,-0.001510456903,790.0203857,-0.0004249431659,790.0203857,-0.00201092218,790.0203857,-0.001144875656,790.0203857,-0.002074766671,790.0203857,-0.002570001874,790.0203857,-0.002316146623,790.0203857,-0.00118024461,790.0203857,0.000666660897,790.0203857,-0.002343850909,790.0203857,-0.003914436325,
