10uM,,20uM,,40uM,,80uM,,160uM,,320uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0369873,-0.003248828696,800.0369873,-0.003095671069,800.0369873,-0.003162799869,800.0369873,-0.002222206676,800.0369873,-0.002642615,800.0369873,-0.002876891056
799.0648804,-0.002676472999,799.0648804,-0.002560943831,799.0648804,-0.003364586039,799.0648804,-0.002137416741,799.0648804,-0.001348943333,799.0648804,-0.003366589546
797.9534302,-0.002191764535,797.9534302,-0.002492280677,797.9534302,-0.002518120687,797.9534302,-0.004021039698,797.9534302,-0.001731627854,797.9534302,-0.002810541075
796.9805298,-0.003313107882,796.9805298,-0.002969866619,796.9805298,-0.003099886235,796.9805298,-0.003066575387,796.9805298,-0.003674405161,796.9805298,-0.001929544378
796.0072632,-0.002013653517,796.0072632,-0.001921606716,796.0072632,-0.002871233737,796.0072632,-0.003003133694,796.0072632,-0.002184501383,796.0072632,-0.002902810927
795.0336304,-0.003153599799,795.0336304,-0.003236392979,795.0336304,-0.003138488624,795.0336304,-0.002228490543,795.0336304,-0.003858712735,795.0336304,-0.002873650985
794.0596313,-0.00345298904,794.0596313,-0.002835282125,794.0596313,-0.003422530368,794.0596313,-0.003455762519,794.0596313,-0.003205456538,794.0596313,-0.0026792516
792.9459839,-0.003418883309,792.9459839,-0.003863023128,792.9459839,-0.003775678808,792.9459839,-0.003310950007,792.9459839,-0.002867633477,792.9459839,-0.00300878915
791.9711304,-0.003326671664,791.9711304,-0.003411897458,791.9711304,-0.002822834533,791.9711304,-0.00394501444,791.9711304,-0.004027246498,791.9711304,-0.003909870051
790.9959717,-0.002856832929,790.9959717,-0.003143936861,790.9959717,-0.003420989262,790.9959717,-0.004633273464,790.9959717,-0.003908894956,790.9959717,-0.00415859092
790.0203857,-0.003756945254,790.0203857,-0.004157360177,790.0203857,-0.00466677174,790.0203857,-0.005075303838,790.0203857,-0.004007241223,790.0203857,-0.004619596526
789.0444336,-0.003632256528,789.0444336,-0.004114540294,789.0444336,-0.00475547323,789.0444336,-0.004850658588,789.0444336,-0.00538978586,789.0444336,-0.004353969358
788.0681152,-0.003916539717,788.0681152,-0.003983387724,788.0681152,-0.003553749295,788.0681152,-0.004516060464,788.0681152,-0.004795720801,788.0681152,-0.004641827196
786.9518433,-0.00471271202,786.9518433,-0.005449914373,786.9518433,-0.004290048964,786.9518433,-0.005518162623,786.9518433,-0.004412448034,786.9518433,-0.003003544873
785.9747314,-0.003997494932,785.9747314,-0.00440353062,785.9747314,-0.004384567961,785.9747314,-0.005642259959,785.9747314,-0.004301788285,785.9747314,-0.00414141221
784.9972534,-0.003976718988,784.9972534,-0.004895044025,784.9972534,-0.004813948646,784.9972534,-0.005559413228,784.9972534,-0.00564813707,784.9972534,-0.004751120228
784.0194092,-0.00407607574,784.0194092,-0.003883188823,784.0194092,-0.005199987907,784.0194092,-0.004766329192,784.0194092,-0.004068587441,784.0194092,-0.003644629382
783.0411987,-0.004111206625,783.0411987,-0.004620211199,783.0411987,-0.004376418889,783.0411987,-0.004431050736,783.0411987,-0.005274669267,783.0411987,-0.005680074915
782.062561,-0.00510963751,782.062561,-0.003725429997,782.062561,-0.005573264789,782.062561,-0.005567539949,782.062561,-0.004068433773,782.062561,-0.004505351651
780.9437256,-0.006215775385,780.9437256,-0.004510577768,780.9437256,-0.005373780616,780.9437256,-0.005280192941,780.9437256,-0.005049615167,780.9437256,-0.005364167038
779.9643555,-0.005277124234,779.9643555,-0.004587426782,779.9643555,-0.005074894521,779.9643555,-0.00544730667,779.9643555,-0.005007855594,779.9643555,-0.005390399136
778.9845581,-0.006028023548,778.9845581,-0.005286637228,778.9845581,-0.005842846818,778.9845581,-0.004112899303,778.9845581,-0.005093520042,778.9845581,-0.005154661834
778.0044556,-0.004798588343,778.0044556,-0.00576090673,778.0044556,-0.005221933592,778.0044556,-0.005151950289,778.0044556,-0.004295739345,778.0044556,-0.005799733102
777.0239868,-0.005297377706,777.0239868,-0.005358491093,777.0239868,-0.006288802251,777.0239868,-0.004318140447,777.0239868,-0.006856420077,777.0239868,-0.005288734101
776.0430908,-0.004777850583,776.0430908,-0.005179576576,776.0430908,-0.004578717984,776.0430908,-0.005169856362,776.0430908,-0.006224043202,776.0430908,-0.005760957487
775.0618896,-0.006193574052,775.0618896,-0.00568503188,775.0618896,-0.005162642803,775.0618896,-0.005172465462,775.0618896,-0.005735667422,775.0618896,-0.005250066519
773.9400635,-0.005810767412,773.9400635,-0.005542289931,773.9400635,-0.005429821089,773.9400635,-0.005707310047,773.9400635,-0.005124987569,773.9400635,-0.005595599767
772.9580078,-0.006241292693,772.9580078,-0.005484678783,772.9580078,-0.005748951342,772.9580078,-0.006325489376,772.9580078,-0.006124717183,772.9580078,-0.004375701305
771.975647,-0.006457823794,771.975647,-0.005531248637,771.975647,-0.005945607554,771.975647,-0.006484908052,771.975647,-0.005915221293,771.975647,-0.005093263928
770.9929199,-0.005839833058,770.9929199,-0.006262777373,770.9929199,-0.005402568728,770.9929199,-0.006570638623,770.9929199,-0.006424871739,770.9929199,-0.006691172719
770.0098267,-0.006031393539,770.0098267,-0.006654771511,770.0098267,-0.00562391337,770.0098267,-0.006476237439,770.0098267,-0.005954952911,770.0098267,-0.005910267122
769.0263672,-0.005548372399,769.0263672,-0.006014390849,769.0263672,-0.006219347939,769.0263672,-0.005683754105,769.0263672,-0.005744506605,769.0263672,-0.006907683797
768.0425415,-0.005844481289,768.0425415,-0.00541269267,768.0425415,-0.006360949483,768.0425415,-0.006474809255,768.0425415,-0.007185248658,768.0425415,-0.005742922425
767.0583496,-0.005869662855,767.0583496,-0.00545564061,767.0583496,-0.006076934747,767.0583496,-0.007187183946,767.0583496,-0.006281045731,767.0583496,-0.006526016165
765.9331055,-0.005936262198,765.9331055,-0.006737154908,765.9331055,-0.007122609764,765.9331055,-0.006633357145,765.9331055,-0.006131353322,765.9331055,-0.005246537272
