10uM,,20uM,,40uM,,80uM,,160uM,,320uM,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0369873,0.01047578827,800.0369873,0.009062296711,800.0369873,0.01122915372,800.0369873,0.009351689368,800.0369873,0.002842527349,800.0369873,0.009161823429
799.0648804,0.009676291607,799.0648804,0.01046297979,799.0648804,0.0119644301,799.0648804,0.01006143074,799.0648804,0.003307118779,799.0648804,0.009920220822
797.9534302,0.01175551955,797.9534302,0.01052201167,797.9534302,0.01091326308,797.9534302,0.009418003261,797.9534302,0.002909965347,797.9534302,0.008598692715
796.9805298,0.01137881447,796.9805298,0.008970165625,796.9805298,0.01065076236,796.9805298,0.008558138274,796.9805298,0.003053475404,796.9805298,0.008010291494
796.0072632,0.01138301287,796.0072632,0.009987231344,796.0072632,0.01157441083,796.0072632,0.008675771765,796.0072632,0.00217319699,796.0072632,0.007832318544
795.0336304,0.01019788906,795.0336304,0.01087408513,795.0336304,0.01035501529,795.0336304,0.01010609977,795.0336304,0.003580720164,795.0336304,0.009285597131
794.0596313,0.009945619851,794.0596313,0.01078387722,794.0596313,0.01060789451,794.0596313,0.008850471117,794.0596313,0.003726070747,794.0596313,0.009004308842
792.9459839,0.01049997285,792.9459839,0.009443398565,792.9459839,0.01022078656,792.9459839,0.00974795036,792.9459839,0.002635067329,792.9459839,0.008487019688
791.9711304,0.0101998765,791.9711304,0.009631588124,791.9711304,0.009882218204,791.9711304,0.008824422956,791.9711304,0.002529135207,791.9711304,0.008663623594
790.9959717,0.01007920783,790.9959717,0.008180634119,790.9959717,0.009504223242,790.9959717,0.01114498079,790.9959717,0.002032604069,790.9959717,0.008654988371
790.0203857,0.009371579625,790.0203857,0.01068182848,790.0203857,0.01014014706,790.0203857,0.008130677044,790.0203857,0.001786617679,790.0203857,0.008238538168
789.0444336,0.01026059501,789.0444336,0.00916645024,789.0444336,0.009380810894,789.0444336,0.008966783062,789.0444336,0.001808452187,789.0444336,0.008663650602
