Std_1,,Std_2,,Std_3,,Std_4,,Std_5,,Std_6,,Std_7,,Std_8,,Std_9,,Std_10,,Std_11,,Std_12,,Std_13,,Std_14,,Std_15,,Std_16,,Std_17,,Std_18,,Std_19,,Std_20,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0369873,-0.00123497,800.0369873,-0.000696447,800.0369873,-0.001215869,800.0369873,-0.001185304,800.0369873,-0.001650971,800.0369873,-0.001292477,800.0369873,-0.001486724,800.0369873,-0.000732886,800.0369873,-0.001417684,800.0369873,-0.001129126,800.0369873,-0.000217077,800.0369873,-0.001302697,800.0369873,-0.001485847,800.0369873,-0.000569118,800.0369873,-0.00100833,800.0369873,-0.00094221,800.0369873,0.00049162,800.0369873,0.001761795,800.0369873,-0.001496269,800.0369873,-0.001247309
799.0648804,-0.001618117,799.0648804,4.02E-05,799.0648804,-0.000688848,799.0648804,0.000394707,799.0648804,-8.2E-05,799.0648804,-0.001578037,799.0648804,0.000782331,799.0648804,-0.001003732,799.0648804,-0.001395133,799.0648804,-0.001770868,799.0648804,-7.07E-05,799.0648804,-0.001866039,799.0648804,-0.000810199,799.0648804,-0.00169094,799.0648804,-0.002418819,799.0648804,0.000112903,799.0648804,-0.001418458,799.0648804,0.001527834,799.0648804,-0.001277972,799.0648804,-0.002629545
797.9534302,-0.000522789,797.9534302,-0.001012772,797.9534302,-0.001272449,797.9534302,-0.000523616,797.9534302,-0.001779685,797.9534302,-0.002004738,797.9534302,0.001089326,797.9534302,-0.002557804,797.9534302,-0.002035554,797.9534302,-0.001223923,797.9534302,0.000276265,797.9534302,-0.000493365,797.9534302,-0.001282721,797.9534302,-0.000494141,797.9534302,-0.00019348,797.9534302,-0.001734516,797.9534302,-0.000252574,797.9534302,0.003667617,797.9534302,-0.002100065,797.9534302,-0.002430042
796.9805298,-0.000975581,796.9805298,-0.001786697,796.9805298,-0.002297762,796.9805298,-0.001300632,796.9805298,-0.001827375,796.9805298,-0.00311212,796.9805298,-0.000427064,796.9805298,-0.001617652,796.9805298,-0.00114374,796.9805298,-0.002544474,796.9805298,0.001324194,796.9805298,-0.001346931,796.9805298,-0.000642325,796.9805298,-0.0006324,796.9805298,-0.000783276,796.9805298,2.77E-05,796.9805298,-0.000759865,796.9805298,0.001545888,796.9805298,-0.000744722,796.9805298,-0.000297949
796.0072632,-0.000746582,796.0072632,-0.001867586,796.0072632,-0.001286954,796.0072632,-0.001577728,796.0072632,-0.000101772,796.0072632,-0.00147981,796.0072632,-0.000423185,796.0072632,-0.002785902,796.0072632,-0.001956294,796.0072632,-0.001769991,796.0072632,0.000498254,796.0072632,-0.002337981,796.0072632,-0.001844491,796.0072632,-0.000939679,796.0072632,-0.000446045,796.0072632,0.000308489,796.0072632,-0.002428446,796.0072632,0.002292522,796.0072632,-0.001723584,796.0072632,-0.00078219
795.0336304,-0.001257065,795.0336304,-0.001287057,795.0336304,-0.000478058,795.0336304,-0.000855465,795.0336304,-0.002203664,795.0336304,-0.000943037,795.0336304,-0.000529304,795.0336304,-0.00173467,795.0336304,-0.001111363,795.0336304,-0.00098555,795.0336304,-0.000654784,795.0336304,-0.000275909,795.0336304,-0.001562562,795.0336304,-0.001992009,795.0336304,-0.002187901,795.0336304,-0.000317246,795.0336304,0.000272224,795.0336304,0.001372025,795.0336304,-0.002104599,795.0336304,-0.000374305
794.0596313,-0.000315694,794.0596313,-0.000933944,794.0596313,-0.002063379,794.0596313,-0.001314156,794.0596313,-0.003073618,794.0596313,-0.00445283,794.0596313,-0.000661659,794.0596313,-0.002280612,794.0596313,-0.002334428,794.0596313,-0.00195985,794.0596313,-0.000639585,794.0596313,-0.001785459,794.0596313,-0.001437654,794.0596313,-0.000622836,794.0596313,-0.002331029,794.0596313,-0.002240852,794.0596313,-0.0017011,794.0596313,0.002629911,794.0596313,-0.001493018,794.0596313,-0.003118186
792.9459839,-0.001463454,792.9459839,-0.001314466,792.9459839,-0.000516222,792.9459839,-0.001306672,792.9459839,-0.001139867,792.9459839,-0.001871091,792.9459839,-0.000990974,792.9459839,-0.001668868,792.9459839,-0.002489089,792.9459839,-0.002975986,792.9459839,-0.000707818,792.9459839,-0.001972838,792.9459839,-0.002128092,792.9459839,-0.001744519,792.9459839,-0.000835623,792.9459839,0.000537648,792.9459839,-0.002609166,792.9459839,0.002556527,792.9459839,-0.001360556,792.9459839,-0.001347653
791.9711304,-0.001370207,791.9711304,-0.001745499,791.9711304,-0.001195217,791.9711304,-0.002224576,791.9711304,-0.001899803,791.9711304,-0.001844646,791.9711304,-0.001122155,791.9711304,-0.002848912,791.9711304,-0.002835642,791.9711304,-0.002674518,791.9711304,-0.001269919,791.9711304,-0.001327421,791.9711304,-0.002862439,791.9711304,-0.001860472,791.9711304,-0.002016282,791.9711304,-0.000738881,791.9711304,-0.000590213,791.9711304,0.000476848,791.9711304,-0.00080684,791.9711304,-0.001080843
790.9959717,-0.002365426,790.9959717,-0.00219094,790.9959717,-0.002386588,790.9959717,-0.001656954,790.9959717,-0.002640197,790.9959717,-0.003177242,790.9959717,-0.001417994,790.9959717,-0.003174055,790.9959717,-0.003052232,790.9959717,-0.00235935,790.9959717,-0.001285044,790.9959717,-0.00250762,790.9959717,-0.001270693,790.9959717,-0.002951047,790.9959717,-0.001034206,790.9959717,-0.002241985,790.9959717,-0.001770301,790.9959717,0.000260128,790.9959717,-0.00371501,790.9959717,-0.001924596
790.0203857,-0.001610225,790.0203857,-0.002662735,790.0203857,-0.003430594,790.0203857,-0.002255891,790.0203857,-0.000775575,790.0203857,-0.002507826,790.0203857,-0.001133671,790.0203857,-0.000810613,790.0203857,-0.003283513,790.0203857,-0.001510457,790.0203857,-0.000424943,790.0203857,-0.002010922,790.0203857,-0.001144876,790.0203857,-0.002074767,790.0203857,-0.002570002,790.0203857,-0.002316147,790.0203857,-0.001180245,790.0203857,0.000666661,790.0203857,-0.002343851,790.0203857,-0.003914436
789.0444336,-0.00218785,789.0444336,-0.002124898,789.0444336,-0.002245745,789.0444336,-0.001922638,789.0444336,-0.002113718,789.0444336,-0.002252286,789.0444336,-0.003235622,789.0444336,-0.003268201,789.0444336,-0.002873342,789.0444336,-0.004790395,789.0444336,-0.000952387,789.0444336,-0.002985909,789.0444336,-0.002889954,789.0444336,-0.00282767,789.0444336,-0.003456379,789.0444336,-0.001906092,789.0444336,-0.003165215,789.0444336,0.001219334,789.0444336,-0.001836088,789.0444336,-0.002461188
788.0681152,-0.001318801,788.0681152,-0.002687638,788.0681152,-0.002271806,788.0681152,-0.000961014,788.0681152,-0.003524428,788.0681152,-0.002088627,788.0681152,-0.002431535,788.0681152,-0.001811187,788.0681152,-0.003730871,788.0681152,-0.002870257,788.0681152,-0.002238483,788.0681152,-0.00188238,788.0681152,-0.002285042,788.0681152,-0.00375905,788.0681152,-0.002521775,788.0681152,-0.002137726,788.0681152,-0.001787934,788.0681152,0.000440233,788.0681152,-0.002745107,788.0681152,-0.002992285
786.9518433,-0.003212086,786.9518433,-0.003179195,786.9518433,-0.002737596,786.9518433,-0.003407788,786.9518433,-0.003372292,786.9518433,-0.001695582,786.9518433,-0.00284166,786.9518433,-0.00527651,786.9518433,-0.002679972,786.9518433,-0.004314706,786.9518433,-0.000867865,786.9518433,-0.002755499,786.9518433,-0.003422325,786.9518433,-0.002412177,786.9518433,-0.004998234,786.9518433,-0.002128762,786.9518433,-0.002753441,786.9518433,0.001430716,786.9518433,-0.003874928,786.9518433,-0.00332364
785.9747314,-0.002550599,785.9747314,-0.002706778,785.9747314,-0.002370009,785.9747314,-0.001822374,785.9747314,-0.00345001,785.9747314,-0.001729668,785.9747314,-0.002328454,785.9747314,-0.003783942,785.9747314,-0.003854351,785.9747314,-0.004017449,785.9747314,-0.002113357,785.9747314,-0.002892114,785.9747314,-0.002558062,785.9747314,-0.001844594,785.9747314,-0.002521003,785.9747314,-0.001899236,785.9747314,-0.003182895,785.9747314,0.00043176,785.9747314,-0.003469887,785.9747314,-0.003684826
784.9972534,-0.00267354,784.9972534,-0.004160745,784.9972534,-0.002571134,784.9972534,-0.003529306,784.9972534,-0.002875348,784.9972534,-0.00340409,784.9972534,-0.003909357,784.9972534,-0.003911922,784.9972534,-0.004639112,784.9972534,-0.004315936,784.9972534,-0.00100053,784.9972534,-0.002973106,784.9972534,-0.003765927,784.9972534,-0.003471941,784.9972534,-0.002055496,784.9972534,-0.002409963,784.9972534,-0.003097881,784.9972534,-0.00024295,784.9972534,-0.003301445,784.9972534,-0.003773985
784.0194092,-0.002374746,784.0194092,-0.003369107,784.0194092,-0.003577935,784.0194092,-0.001835572,784.0194092,-0.004541575,784.0194092,-0.002284269,784.0194092,-0.00353516,784.0194092,-0.004005959,784.0194092,-0.003274007,784.0194092,-0.004883935,784.0194092,-0.001367213,784.0194092,-0.003371675,784.0194092,-0.003163673,784.0194092,-0.003898941,784.0194092,-0.003188086,784.0194092,-0.003104975,784.0194092,-0.00218002,784.0194092,-9.77E-05,784.0194092,-0.003944348,784.0194092,-0.003696633
783.0411987,-0.002960097,783.0411987,-0.003860355,783.0411987,-0.003440354,783.0411987,-0.00267354,783.0411987,-0.003189885,783.0411987,-0.002511275,783.0411987,-0.004244064,783.0411987,-0.003403062,783.0411987,-0.002919576,783.0411987,-0.004353867,783.0411987,-0.002859919,783.0411987,-0.002750457,783.0411987,-0.002751229,783.0411987,-0.003698686,783.0411987,-0.002319133,783.0411987,-0.001842944,783.0411987,-0.002880645,783.0411987,-0.001253039,783.0411987,-0.004037249,783.0411987,-0.003512976
