t_0,,t_1,,t_2,,t_3,,t_4,,t_5,,t_6,,t_7,,t_8,,t_9,,t_10,,t_11,,t_12,,t_13,,t_14,,t_15,,t_16,,t_17,,t_18,,t_19,,t_20,,t_30,,t_40,,t_50,,t_60,,t_120,,t_180,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0369873,0.001009119,800.0369873,0.008248695,800.0369873,0.001259962,800.0369873,0.002908402,800.0369873,0.003028163,800.0369873,0.002211806,800.0369873,0.000197555,800.0369873,0.001084474,800.0369873,0.00220577,800.0369873,0.000921689,800.0369873,0.002530385,800.0369873,0.001452766,800.0369873,0.00115234,800.0369873,-0.001393275,800.0369873,0.000125177,800.0369873,0.001695393,800.0369873,0.002380931,800.0369873,0.002634937,800.0369873,0.002034399,800.0369873,0.00105323,800.0369873,0.000931547,800.0369873,0.001218504,800.0369873,0.002065401,800.0369873,0.000574064,800.0369873,-0.000166156,800.0369873,0.000410357,800.0369873,0.00024754
799.0648804,-0.000599933,799.0648804,0.007353727,799.0648804,0.000583033,799.0648804,0.003218495,799.0648804,0.002890785,799.0648804,0.001350731,799.0648804,0.001614035,799.0648804,0.001600602,799.0648804,-0.00055309,799.0648804,0.002335904,799.0648804,0.000993241,799.0648804,0.001239297,799.0648804,0.003126343,799.0648804,0.002569286,799.0648804,-0.000435132,799.0648804,-0.000107776,799.0648804,0.002149445,799.0648804,0.00149513,799.0648804,0.000694091,799.0648804,0.001050298,799.0648804,0.000556802,799.0648804,0.000603977,799.0648804,0.001323467,799.0648804,0.00124641,799.0648804,0.000397713,799.0648804,8.97E-05,799.0648804,-0.00029976
797.9534302,0.00097827,797.9534302,0.007035065,797.9534302,0.000788607,797.9534302,0.001909788,797.9534302,0.002462017,797.9534302,-8.86E-05,797.9534302,0.000591016,797.9534302,0.000672961,797.9534302,0.000773255,797.9534302,0.001119846,797.9534302,0.001091662,797.9534302,0.001834213,797.9534302,0.001601044,797.9534302,0.000581451,797.9534302,0.000959072,797.9534302,0.001192649,797.9534302,0.001549837,797.9534302,0.001860001,797.9534302,0.000122924,797.9534302,0.000849165,797.9534302,-0.000771544,797.9534302,3.91E-05,797.9534302,0.001319079,797.9534302,0.00011557,797.9534302,0.000492475,797.9534302,0.000252177,797.9534302,0.001320351
796.9805298,0.000269971,796.9805298,0.006428284,796.9805298,0.001686116,796.9805298,0.001907527,796.9805298,0.001676709,796.9805298,8.04E-05,796.9805298,0.001169392,796.9805298,0.001939092,796.9805298,0.000282171,796.9805298,0.001695757,796.9805298,0.001116809,796.9805298,0.000628318,796.9805298,0.002616134,796.9805298,0.000216176,796.9805298,0.000523782,796.9805298,0.000800536,796.9805298,0.001867826,796.9805298,0.002732767,796.9805298,0.000135275,796.9805298,-0.00051224,796.9805298,0.00048908,796.9805298,0.000721575,796.9805298,0.001266945,796.9805298,-0.001054401,796.9805298,0.000441295,796.9805298,-0.000200984,796.9805298,-0.000125581
796.0072632,0.000650432,796.0072632,0.006577192,796.0072632,0.001299684,796.0072632,0.001751971,796.0072632,0.002403784,796.0072632,-0.000178835,796.0072632,0.001683205,796.0072632,0.00098512,796.0072632,0.001028242,796.0072632,0.00074486,796.0072632,0.00036328,796.0072632,0.000901145,796.0072632,0.000263677,796.0072632,0.00130872,796.0072632,0.001580233,796.0072632,0.00086413,796.0072632,0.001533211,796.0072632,0.001135184,796.0072632,0.000126679,796.0072632,0.000795738,796.0072632,0.001403109,796.0072632,0.000810313,796.0072632,0.002035465,796.0072632,0.000167359,796.0072632,0.00029634,796.0072632,-0.000144627,796.0072632,-0.000151251
795.0336304,-0.001077228,795.0336304,0.005681489,795.0336304,-0.00017661,795.0336304,0.000715897,795.0336304,0.001560021,795.0336304,0.001601641,795.0336304,0.000689865,795.0336304,0.001394098,795.0336304,0.000428806,795.0336304,0.000657846,795.0336304,0.001521807,795.0336304,0.001177465,795.0336304,-0.000254074,795.0336304,-9.61E-05,795.0336304,-0.000134069,795.0336304,0.000271499,795.0336304,-8.38E-05,795.0336304,0.001694561,795.0336304,0.001071005,795.0336304,0.000442073,795.0336304,-4.18E-05,795.0336304,-0.000661607,795.0336304,0.00110116,795.0336304,-0.000174022,795.0336304,-0.001471297,795.0336304,-0.000316522,795.0336304,-0.000820431
794.0596313,0.000299733,794.0596313,0.005598489,794.0596313,0.001523522,794.0596313,0.001427703,794.0596313,0.001755324,794.0596313,0.001204642,794.0596313,-0.000467197,794.0596313,-0.000496675,794.0596313,-0.000376116,794.0596313,0.00070957,794.0596313,-8.08E-05,794.0596313,0.000551696,794.0596313,0.001529496,794.0596313,0.001318352,794.0596313,-0.000268872,794.0596313,0.001987406,794.0596313,0.000119273,794.0596313,0.00177071,794.0596313,0.000681309,794.0596313,0.000287222,794.0596313,0.000837286,794.0596313,-0.000697584,794.0596313,0.001871648,794.0596313,-0.000988391,794.0596313,0.000509631,794.0596313,-0.001813455,794.0596313,-0.000495847
792.9459839,-6.61E-05,792.9459839,0.006962643,792.9459839,0.000946204,792.9459839,0.000651132,792.9459839,0.00052303,792.9459839,0.000716986,792.9459839,0.000159539,792.9459839,0.002069848,792.9459839,5.5E-05,792.9459839,0.001792908,792.9459839,-9.24E-05,792.9459839,0.001249499,792.9459839,0.000528654,792.9459839,0.000672831,792.9459839,-0.000574392,792.9459839,0.000847894,792.9459839,4.53E-05,792.9459839,0.001030837,792.9459839,-0.000155599,792.9459839,0.000181654,792.9459839,0.000241117,792.9459839,-0.00051767,792.9459839,0.000796076,792.9459839,-0.001026614,792.9459839,-0.001515874,792.9459839,-5.85E-05,792.9459839,-0.001420264
791.9711304,-0.000326765,791.9711304,0.004975773,791.9711304,-0.000488814,791.9711304,0.001769229,791.9711304,0.001047911,791.9711304,-0.000820276,791.9711304,-0.000537474,791.9711304,0.001212689,791.9711304,0.000210193,791.9711304,-0.001275133,791.9711304,-0.000968143,791.9711304,0.000113628,791.9711304,0.0014256,791.9711304,0.000882702,791.9711304,0.000770195,791.9711304,0.001803799,791.9711304,-0.000782604,791.9711304,0.000965558,791.9711304,-0.000126719,791.9711304,0.000420514,791.9711304,-0.000337784,791.9711304,0.000406548,791.9711304,0.000368255,791.9711304,-0.000124856,791.9711304,0.000784743,791.9711304,-0.001128558,791.9711304,-0.002115985
