t=0,,t=10,,t=20,,t=30,,t=40,,t=50,,t=60,,t=120,,t=180,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0369873,0.0016521,800.0369873,0.000193593,800.0369873,-0.000858307,800.0369873,0.000286056,800.0369873,4.04E-05,800.0369873,0.001716313,800.0369873,0.001109361,800.0369873,-0.000721464,800.0369873,-0.00068735
799.0648804,-0.000288015,799.0648804,-0.000472317,799.0648804,0.000455521,799.0648804,0.00030165,799.0648804,3.87E-05,799.0648804,0.00038082,799.0648804,0.000836482,799.0648804,0.001158647,799.0648804,0.000723623
797.9534302,-0.000172366,797.9534302,9.09E-05,797.9534302,0.000177614,797.9534302,0.000226743,797.9534302,0.000690513,797.9534302,0.001632664,797.9534302,0.000455262,797.9534302,-0.000552262,797.9534302,-0.000320195
796.9805298,7.78E-05,796.9805298,-0.000222407,796.9805298,-8.87E-05,796.9805298,-3.86E-05,796.9805298,0.000892481,796.9805298,0.001885505,796.9805298,-0.000882074,796.9805298,0.000900367,796.9805298,-0.000113832
796.0072632,0.000139833,796.0072632,-8.52E-05,796.0072632,0.001103158,796.0072632,-0.000212886,796.0072632,0.000473557,796.0072632,0.000558875,796.0072632,3.93E-06,796.0072632,-0.000739088,796.0072632,-0.000680888
795.0336304,-0.000505052,795.0336304,-0.00015534,795.0336304,-0.000150113,795.0336304,-0.000573927,795.0336304,-0.000964836,795.0336304,0.000297894,795.0336304,-1.11E-05,795.0336304,-0.000101409,795.0336304,-0.000805394
794.0596313,0.000327581,794.0596313,4.83E-05,794.0596313,0.000218688,794.0596313,-0.000521858,794.0596313,-2.00E-05,794.0596313,7.40E-05,794.0596313,-0.000478316,794.0596313,0.000532982,794.0596313,-0.001611669
792.9459839,-0.000980798,792.9459839,-0.00013588,792.9459839,-0.001654582,792.9459839,-0.000910593,792.9459839,-0.000994693,792.9459839,-0.000453337,792.9459839,0.001089119,792.9459839,-0.000796505,792.9459839,0.000282741
791.9711304,-0.000836501,791.9711304,-0.001186853,791.9711304,-0.001153189,791.9711304,-0.002090945,791.9711304,-0.00035351,791.9711304,-0.001142655,791.9711304,-0.000820431,791.9711304,-0.001370516,791.9711304,-6.55E-05
790.9959717,-0.000697326,790.9959717,0.000105291,790.9959717,-0.000101254,790.9959717,-0.001072115,790.9959717,-7.77E-05,790.9959717,-0.000333801,790.9959717,0.00054011,790.9959717,-0.001011377,790.9959717,-0.000791286
790.0203857,0.000419478,790.0203857,-0.000259197,790.0203857,-0.001973559,790.0203857,-0.0005307,790.0203857,-0.000528632,790.0203857,-0.001213649,790.0203857,-0.001209106,790.0203857,0.000586687,790.0203857,-0.000637931
789.0444336,-0.001698057,789.0444336,-0.000910335,789.0444336,-0.000962977,789.0444336,-0.001744365,789.0444336,-0.000496882,789.0444336,-0.001302645,789.0444336,-0.0016372,789.0444336,-0.000539491,789.0444336,-0.002024011
788.0681152,-0.000803482,788.0681152,-0.001427282,788.0681152,-0.002119334,788.0681152,-0.000897677,788.0681152,-0.00046849,788.0681152,-0.001672426,788.0681152,-0.000257541,788.0681152,-0.002298895,788.0681152,-0.001131605
786.9518433,-0.001765093,786.9518433,-0.001685783,786.9518433,-0.002093315,786.9518433,-0.001577986,786.9518433,4.49E-05,786.9518433,-0.000430995,786.9518433,-0.000233015,786.9518433,-0.001981599,786.9518433,-0.001978713
785.9747314,-0.001703059,785.9747314,-9.06E-05,785.9747314,-0.001674953,785.9747314,-0.001644163,785.9747314,-0.000978061,785.9747314,-0.00179938,785.9747314,-0.00184181,785.9747314,-0.001273429,785.9747314,-0.001214991
784.9972534,-0.001777055,784.9972534,-0.00240327,784.9972534,-0.002424585,784.9972534,-0.00133666,784.9972534,-0.00180995,784.9972534,-0.000514515,784.9972534,-0.002281385,784.9972534,-0.002584773,784.9972534,-0.001036221
784.0194092,-0.000976098,784.0194092,-0.001291393,784.0194092,-0.00146913,784.0194092,-0.002224679,784.0194092,-0.001896762,784.0194092,-0.000981573,784.0194092,-0.001109091,784.0194092,-0.000670912,784.0194092,-0.001633745
783.0411987,-0.002084556,783.0411987,-0.001468098,783.0411987,-0.002018755,783.0411987,-0.001281069,783.0411987,-0.001943254,783.0411987,-0.001196611,783.0411987,-0.001150349,783.0411987,-0.001372942,783.0411987,-0.002191301
782.062561,-0.002235547,782.062561,-0.001331034,782.062561,-0.002164514,782.062561,-0.000859908,782.062561,-0.001306672,782.062561,-0.001682534,782.062561,-0.001858771,782.062561,-0.001283547,782.062561,-0.001047686
780.9437256,-0.002420621,780.9437256,-0.002579883,780.9437256,-0.002017982,780.9437256,-0.003084825,780.9437256,-0.001184427,780.9437256,-0.000958534,780.9437256,-0.001064471,780.9437256,-0.002692012,780.9437256,-0.001814177
779.9643555,-0.002025712,779.9643555,-0.002951253,779.9643555,-0.002436271,779.9643555,-0.002972438,779.9643555,-0.002090327,779.9643555,-0.00114028,779.9643555,-0.001914545,779.9643555,-0.003088372,779.9643555,-0.002111296
778.9845581,-0.002970484,778.9845581,-0.000867504,778.9845581,-0.003627379,778.9845581,-0.003514876,778.9845581,-0.003065444,778.9845581,-0.00190501,778.9845581,-0.001912999,778.9845581,-0.001906298,778.9845581,-0.002239719
778.0044556,-0.002979739,778.0044556,-0.002657795,778.0044556,-0.002105011,778.0044556,-0.003396179,778.0044556,-0.002606439,778.0044556,-0.001941347,778.0044556,-0.001363136,778.0044556,-0.001644731,778.0044556,-0.002331338
777.0239868,-0.001593564,777.0239868,-0.002532481,777.0239868,-0.003057939,777.0239868,-0.00330314,777.0239868,-0.002233538,777.0239868,-0.001115236,777.0239868,-0.001842584,777.0239868,-0.003431005,777.0239868,-0.003237524
776.0430908,-0.001701822,776.0430908,-0.00290132,776.0430908,-0.00285493,776.0430908,-0.003628046,776.0430908,-0.001630444,776.0430908,-0.002018807,776.0430908,-0.002308577,776.0430908,-0.002586368,776.0430908,-0.00272602
775.0618896,-0.002926518,775.0618896,-0.003040562,775.0618896,-0.003078142,775.0618896,-0.003111709,775.0618896,-0.001755708,775.0618896,-0.001741374,775.0618896,-0.002448885,775.0618896,-0.003046063,775.0618896,-0.002158178
773.9400635,-0.002634073,773.9400635,-0.002986218,773.9400635,-0.003162029,773.9400635,-0.002154932,773.9400635,-0.002742586,773.9400635,-0.002231272,773.9400635,-0.001832788,773.9400635,-0.002701633,773.9400635,-0.002557753
772.9580078,-0.001633796,772.9580078,-0.002970689,772.9580078,-0.003502499,772.9580078,-0.002299873,772.9580078,-0.002625171,772.9580078,-0.002010819,772.9580078,-0.003173439,772.9580078,-0.003178578,772.9580078,-0.002867633
771.975647,-0.002617194,771.975647,-0.003585431,771.975647,-0.002048385,771.975647,-0.002898182,771.975647,-0.002490273,771.975647,-0.003014548,771.975647,-0.003524684,771.975647,-0.00306822,771.975647,-0.003174826
770.9929199,-0.002417686,770.9929199,-0.003137409,770.9929199,-0.003947631,770.9929199,-0.003387857,770.9929199,-0.002789142,770.9929199,-0.003338231,770.9929199,-0.002614775,770.9929199,-0.002840683,770.9929199,-0.001718169
770.0098267,-0.002677554,770.0098267,-0.002682802,770.0098267,-0.003235365,770.0098267,-0.003726918,770.0098267,-0.00314147,770.0098267,-0.001895216,770.0098267,-0.002028598,770.0098267,-0.002946522,770.0098267,-0.003489814
769.0263672,-0.00251704,769.0263672,-0.002660368,769.0263672,-0.002849581,769.0263672,-0.003346503,769.0263672,-0.003224419,769.0263672,-0.002634691,769.0263672,-0.002990023,769.0263672,-0.003484781,769.0263672,-0.004179768
768.0425415,-0.003097316,768.0425415,-0.002931044,768.0425415,-0.002111142,768.0425415,-0.003289627,768.0425415,-0.003207769,768.0425415,-0.002524349,768.0425415,-0.003536495,768.0425415,-0.003492228,768.0425415,-0.002996707
767.0583496,-0.002943899,767.0583496,-0.003971845,767.0583496,-0.003855634,767.0583496,-0.004107258,767.0583496,-0.002991257,767.0583496,-0.002011644,767.0583496,-0.002721596,767.0583496,-0.003358781,767.0583496,-0.003226321
765.9331055,-0.002228182,765.9331055,-0.003852504,765.9331055,-0.003471068,765.9331055,-0.003839162,765.9331055,-0.003794155,765.9331055,-0.003110424,765.9331055,-0.002804574,765.9331055,-0.003293378,765.9331055,-0.002908622
764.9481201,-0.003509997,764.9481201,-0.003052284,764.9481201,-0.004168077,764.9481201,-0.003392224,764.9481201,-0.003352359,764.9481201,-0.002305075,764.9481201,-0.003431005,764.9481201,-0.003679487,764.9481201,-0.003684364
763.9628296,-0.002865679,763.9628296,-0.004085718,763.9628296,-0.004473378,763.9628296,-0.003469938,763.9628296,-0.003304836,763.9628296,-0.003139877,763.9628296,-0.003524479,763.9628296,-0.003745397,763.9628296,-0.003703563
762.9771118,-0.003854762,762.9771118,-0.003820688,762.9771118,-0.004400199,762.9771118,-0.00426293,762.9771118,-0.003304836,762.9771118,-0.003881085,762.9771118,-0.003035832,762.9771118,-0.004664057,762.9771118,-0.003249599
761.9910889,-0.003929982,761.9910889,-0.00463061,761.9910889,-0.004196074,761.9910889,-0.00455008,761.9910889,-0.00385979,761.9910889,-0.003083745,761.9910889,-0.004652635,761.9910889,-0.003908023,761.9910889,-0.003232847
761.0046387,-0.004147361,761.0046387,-0.004226325,761.0046387,-0.0037436,761.0046387,-0.004234989,761.0046387,-0.003682157,761.0046387,-0.004256624,761.0046387,-0.005155839,761.0046387,-0.00396846,761.0046387,-0.005079909
760.0178833,-0.00434013,760.0178833,-0.004179768,760.0178833,-0.003458382,760.0178833,-0.004406862,760.0178833,-0.004278156,760.0178833,-0.004206738,760.0178833,-0.00386641,760.0178833,-0.004261084,760.0178833,-0.005066656
759.0307617,-0.004917363,759.0307617,-0.003611463,759.0307617,-0.005036463,759.0307617,-0.004516982,759.0307617,-0.004534915,759.0307617,-0.00401155,759.0307617,-0.003742368,759.0307617,-0.004418239,759.0307617,-0.0048439
758.0432739,-0.00472828,758.0432739,-0.005115675,758.0432739,-0.004182999,758.0432739,-0.005421385,758.0432739,-0.004818249,758.0432739,-0.004210174,758.0432739,-0.00417259,758.0432739,-0.004947359,758.0432739,-0.003298054
757.055481,-0.005048541,757.055481,-0.005481509,757.055481,-0.005407887,757.055481,-0.005416221,757.055481,-0.004608788,757.055481,-0.003882419,757.055481,-0.004504378,757.055481,-0.004758136,757.055481,-0.005728974
756.0672607,-0.004716553,756.0672607,-0.0043104,756.0672607,-0.005412846,756.0672607,-0.004637884,756.0672607,-0.005724734,756.0672607,-0.004685108,756.0672607,-0.004675735,756.0672607,-0.004393332,756.0672607,-0.004184691
754.937439,-0.004862639,754.937439,-0.005142792,754.937439,-0.006125687,754.937439,-0.005181111,754.937439,-0.005580931,754.937439,-0.004515343,754.937439,-0.004622567,754.937439,-0.005953268,754.937439,-0.005482634
753.9484863,-0.005394132,753.9484863,-0.005679308,753.9484863,-0.006066061,753.9484863,-0.005491222,753.9484863,-0.005651254,753.9484863,-0.00452436,753.9484863,-0.004826135,753.9484863,-0.005557062,753.9484863,-0.004810774
752.9591675,-0.005121969,752.9591675,-0.006206232,752.9591675,-0.005370764,752.9591675,-0.006467515,752.9591675,-0.005401086,752.9591675,-0.005444393,752.9591675,-0.005883964,752.9591675,-0.005338394,752.9591675,-0.005399297
751.9694824,-0.006407986,751.9694824,-0.005314613,751.9694824,-0.006513215,751.9694824,-0.006082244,751.9694824,-0.005079756,751.9694824,-0.005906233,751.9694824,-0.005180651,751.9694824,-0.005540552,751.9694824,-0.006615052
750.9794312,-0.0050839,750.9794312,-0.00586665,750.9794312,-0.006228279,750.9794312,-0.006849642,750.9794312,-0.005843153,750.9794312,-0.005698011,750.9794312,-0.00523467,750.9794312,-0.006045179,750.9794312,-0.006877263
749.9890747,-0.006478685,749.9890747,-0.00614779,749.9890747,-0.005812197,749.9890747,-0.006383499,749.9890747,-0.006167084,749.9890747,-0.00597635,749.9890747,-0.006008978,749.9890747,-0.006676082,749.9890747,-0.006586446
748.9983521,-0.005707514,748.9983521,-0.006187347,748.9983521,-0.006968622,748.9983521,-0.005822618,748.9983521,-0.006527648,748.9983521,-0.006269156,748.9983521,-0.006734606,748.9983521,-0.006316917,748.9983521,-0.006491743
