t=0,,t=10,,t=20,,t=30,,t=40,,t=50,,t=60,,t=120,,t=180,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0369873,0.001186108,800.0369873,0.000907007,800.0369873,0.001347771,800.0369873,0.001555942,800.0369873,-0.000214956,800.0369873,0.000510538,800.0369873,-0.000775059,800.0369873,0.000300873,800.0369873,0.033591118
799.0648804,0.001319469,799.0648804,0.001784434,799.0648804,0.000652324,799.0648804,0.000858294,799.0648804,0.001816172,799.0648804,0.000824707,799.0648804,0.001966056,799.0648804,0.000694817,799.0648804,0.03198567
797.9534302,-0.000289723,797.9534302,0.001277122,797.9534302,0.00021255,797.9534302,0.000728187,797.9534302,-0.00035201,797.9534302,0.000587206,797.9534302,0.000307013,797.9534302,-0.000631986,797.9534302,0.032634921
796.9805298,0.00031911,796.9805298,0.000337348,796.9805298,0.000108528,796.9805298,0.001007692,796.9805298,2.65E-05,796.9805298,0.000331001,796.9805298,0.000587102,796.9805298,0.000403465,796.9805298,0.031863391
796.0072632,-0.000624645,796.0072632,0.000842862,796.0072632,-0.00031885,796.0072632,0.000126161,796.0072632,0.002071929,796.0072632,0.000326441,796.0072632,-0.000268768,796.0072632,-0.001183394,796.0072632,0.030861292
795.0336304,0.001482142,795.0336304,0.00052557,795.0336304,0.000615227,795.0336304,0.000712941,795.0336304,-0.00064734,795.0336304,0.000348254,795.0336304,0.000498954,795.0336304,3.03E-05,795.0336304,0.030866211
794.0596313,-0.001134858,794.0596313,-0.0002608,794.0596313,-0.000569532,794.0596313,0.001464818,794.0596313,-0.000358528,794.0596313,0.000383644,794.0596313,-0.001883721,794.0596313,0.000889057,794.0596313,0.031894255
792.9459839,-0.000175471,792.9459839,0.000902286,792.9459839,4.34E-05,792.9459839,0.000118108,792.9459839,-0.000515911,792.9459839,-0.000159842,792.9459839,-0.000984104,792.9459839,0.000259947,792.9459839,0.031943653
791.9711304,0.000443239,791.9711304,0.000608721,791.9711304,-0.000629763,791.9711304,0.000363902,791.9711304,0.000541976,791.9711304,-0.001976755,791.9711304,-0.001032244,791.9711304,0.000238605,791.9711304,0.032196656
790.9959717,0.000550244,790.9959717,-0.000984466,790.9959717,-0.000213869,790.9959717,-0.000993195,790.9959717,0.000249509,790.9959717,0.001019394,790.9959717,-0.000570928,790.9959717,-0.000815677,790.9959717,0.032216951
790.0203857,-0.000745187,790.0203857,-0.000122786,790.0203857,0.000449121,790.0203857,-0.000533648,790.0203857,-0.000146852,790.0203857,-0.000196585,790.0203857,-0.000138468,790.0203857,0.000891391,790.0203857,0.030816799
789.0444336,0.000176734,789.0444336,0.000152184,789.0444336,0.000894011,789.0444336,0.00013802,789.0444336,-0.00059316,789.0444336,-0.000606602,789.0444336,-0.001656541,789.0444336,-0.001258821,789.0444336,0.031555962
788.0681152,-0.0007548,788.0681152,-0.001178902,788.0681152,-0.000789942,788.0681152,-0.000726632,788.0681152,-0.001599496,788.0681152,-0.001015457,788.0681152,-0.000322678,788.0681152,-0.000511619,788.0681152,0.029740982
786.9518433,-0.000994538,786.9518433,-0.000423547,786.9518433,-0.002353995,786.9518433,0.000105213,786.9518433,-0.002316198,786.9518433,-0.000789787,786.9518433,-0.001110743,786.9518433,-0.000882332,786.9518433,0.029961253
785.9747314,-0.001140642,785.9747314,-0.001497404,785.9747314,-0.001629722,785.9747314,-0.001697696,785.9747314,-0.001033122,785.9747314,-0.00169718,785.9747314,-0.001077383,785.9747314,-0.001746685,785.9747314,0.029811786
784.9972534,-0.001004301,784.9972534,-0.000888842,784.9972534,-0.000778418,784.9972534,-0.000381081,784.9972534,-0.00139761,784.9972534,-0.001565554,784.9972534,-0.000887499,784.9972534,-0.001344247,784.9972534,0.031037059
784.0194092,-0.001770507,784.0194092,-0.000702443,784.0194092,-0.001515049,784.0194092,-0.001652673,784.0194092,-0.001316169,784.0194092,-0.000983794,784.0194092,-0.001412575,784.0194092,-0.001835057,784.0194092,0.029909808
783.0411987,-0.001830881,783.0411987,-0.001639882,783.0411987,-0.001396733,783.0411987,-0.001520724,783.0411987,-0.000661038,783.0411987,-0.000460319,783.0411987,-0.001056518,783.0411987,-0.001539812,783.0411987,0.028528424
782.062561,-0.002055547,782.062561,-0.001284528,782.062561,-0.001304813,782.062561,-0.000969176,782.062561,-0.001767259,782.062561,-0.001789584,782.062561,-0.001333976,782.062561,-0.001712858,782.062561,0.0296361
780.9437256,-0.001477333,780.9437256,-0.001751944,780.9437256,-0.000928158,780.9437256,-0.001390076,780.9437256,-0.000918601,780.9437256,-0.001323756,780.9437256,-0.003084825,780.9437256,-0.001671807,780.9437256,0.030075535
779.9643555,-0.002531812,779.9643555,-0.00136453,779.9643555,-0.001842584,779.9643555,-0.001640243,779.9643555,-0.001889906,779.9643555,-0.001449677,779.9643555,-0.001438531,779.9643555,-0.001899546,779.9643555,0.030737162
778.9845581,-0.002330462,778.9845581,-0.002026743,778.9845581,-0.002261351,778.9845581,-0.001676604,778.9845581,-0.001981908,778.9845581,-0.000796092,778.9845581,-0.002769337,778.9845581,-0.003041128,778.9845581,0.029287845
778.0044556,-0.001751583,778.0044556,-0.001315859,778.0044556,-0.001412421,778.0044556,-0.003243382,778.0044556,-0.002949247,778.0044556,-0.001792007,778.0044556,-0.001842377,778.0044556,-0.003285363,778.0044556,0.029374918
777.0239868,-0.000888532,777.0239868,-0.002076003,777.0239868,-0.002088318,777.0239868,-0.000337939,777.0239868,-0.002387464,777.0239868,6.77E-05,777.0239868,-0.002219477,777.0239868,-0.001647,777.0239868,0.029837683
776.0430908,-0.001931915,776.0430908,-0.002201964,776.0430908,-0.000780537,776.0430908,-0.002785644,776.0430908,-0.00238458,776.0430908,-0.002027,776.0430908,-0.002098519,776.0430908,-0.002805963,776.0430908,0.029825844
775.0618896,-0.002555282,775.0618896,-0.002297814,775.0618896,-0.002291891,775.0618896,-0.002702096,775.0618896,-0.002010665,775.0618896,-0.002209227,775.0618896,-0.004852297,775.0618896,-0.002682133,775.0618896,0.030313822
773.9400635,-0.002865988,773.9400635,-0.002120158,773.9400635,-0.002399615,773.9400635,-0.002150966,773.9400635,-0.002002935,773.9400635,-0.001859132,773.9400635,-0.002135614,773.9400635,-0.001340221,773.9400635,0.030010706
772.9580078,-0.001520208,772.9580078,-0.001963922,772.9580078,-0.002136077,772.9580078,-0.002273351,772.9580078,-0.001761587,772.9580078,-0.002373613,772.9580078,-0.003504297,772.9580078,-0.002605255,772.9580078,0.030277906
771.975647,-0.002600572,771.975647,-0.002301006,771.975647,-0.00281908,771.975647,-0.001599805,771.975647,-0.001835108,771.975647,-0.001684855,771.975647,-0.002937934,771.975647,-0.002423246,771.975647,0.028305233
770.9929199,-0.00272247,770.9929199,-0.002488832,770.9929199,-0.002309606,770.9929199,-0.002257952,770.9929199,-0.002391892,770.9929199,-0.002218035,770.9929199,-0.002058072,770.9929199,-0.003022157,770.9929199,0.030258838
770.0098267,-0.002535364,770.0098267,-0.002916696,770.0098267,-0.003308278,770.0098267,-0.002945185,770.0098267,-0.002758791,770.0098267,-0.002500928,770.0098267,-0.001939595,770.0098267,-0.002565164,770.0098267,0.02944533
769.0263672,-0.003344807,769.0263672,-0.002932072,769.0263672,-0.002221228,769.0263672,-0.001811909,769.0263672,-0.001867534,769.0263672,-0.002739962,769.0263672,-0.003826281,769.0263672,-0.00284346,769.0263672,0.028394345
768.0425415,-0.00348966,768.0425415,-0.002706264,768.0425415,-0.003517341,768.0425415,-0.00274629,768.0425415,-0.003319171,768.0425415,-0.001927998,768.0425415,-0.003383799,768.0425415,-0.003550771,768.0425415,0.029321797
767.0583496,-0.002680023,767.0583496,-0.002473543,767.0583496,-0.003569103,767.0583496,-0.003737236,767.0583496,-0.002751949,767.0583496,-0.003035318,767.0583496,-0.002480492,767.0583496,-0.003075366,767.0583496,0.028270228
765.9331055,-0.003185773,765.9331055,-0.002962565,765.9331055,-0.002946676,765.9331055,-0.003137101,765.9331055,-0.0025787,765.9331055,-0.002530216,765.9331055,-0.003058967,765.9331055,-0.003099372,765.9331055,0.028342478
764.9481201,-0.003652176,764.9481201,-0.002588633,764.9481201,-0.003191992,764.9481201,-0.00349685,764.9481201,-0.003761205,764.9481201,-0.002719126,764.9481201,-0.003154062,764.9481201,-0.00376526,764.9481201,0.028441438
