t=0,,t=1,,t=2,,t=3,,t=4,,t=5,,t=6,,t=7,,t=8,,t=9,,t=10,,t=11,,t=12,,t=13,,t=14,,t=15,,t=16,,t=17,,t=18,,t=19,,t=20,,t=30,,t=50,,t=60,,t=120,,t=180,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs
800.0369873,0.001634146,800.0369873,0.002172208,800.0369873,0.000688024,800.0369873,0.003333699,800.0369873,0.008796078,800.0369873,0.003560441,800.0369873,0.003751502,800.0369873,0.003432965,800.0369873,0.00261952,800.0369873,0.000371856,800.0369873,0.002622931,800.0369873,0.007290255,800.0369873,0.013383383,800.0369873,0.000344705,800.0369873,0.004867201,800.0369873,0.002622592,800.0369873,0.000781164,800.0369873,0.003610841,800.0369873,0.002367605,800.0369873,0.002248259,800.0369873,0.000936502,800.0369873,0.001213416,800.0369873,0.006496334,800.0369873,0.004361899,800.0369873,0.003738734,800.0369873,0.002299548
799.0648804,0.001945826,799.0648804,0.001261338,799.0648804,0.000104566,799.0648804,0.005728044,799.0648804,0.008696661,799.0648804,0.004723038,799.0648804,0.004237822,799.0648804,0.001736845,799.0648804,0.003587532,799.0648804,0.000701895,799.0648804,0.003141153,799.0648804,0.007619063,799.0648804,0.013976468,799.0648804,0.001406329,799.0648804,0.006807317,799.0648804,0.003289252,799.0648804,0.001269827,799.0648804,0.003109057,799.0648804,0.003609327,799.0648804,0.001810844,799.0648804,0.001581272,799.0648804,0.00116267,799.0648804,0.006103342,799.0648804,0.004863274,799.0648804,0.004012241,799.0648804,0.002741129
797.9534302,0.002264808,797.9534302,0.000386442,797.9534302,0.000145814,797.9534302,0.004267517,797.9534302,0.008091222,797.9534302,0.003499712,797.9534302,0.003688397,797.9534302,0.002870408,797.9534302,0.00261741,797.9534302,0.000660854,797.9534302,0.003983974,797.9534302,0.007802114,797.9534302,0.012577695,797.9534302,0.000140428,797.9534302,0.00627357,797.9534302,0.003678868,797.9534302,0.001021781,797.9534302,0.003291651,797.9534302,0.003285704,797.9534302,0.00199232,797.9534302,0.002186465,797.9534302,-0.000906202,797.9534302,0.005765974,797.9534302,0.006292899,797.9534302,0.005333257,797.9534302,0.002822517
796.9805298,0.001890497,796.9805298,0.002532312,796.9805298,0.000200274,796.9805298,0.0037191,796.9805298,0.008296451,796.9805298,0.003677041,796.9805298,0.002992323,796.9805298,0.003296659,796.9805298,0.002499948,796.9805298,5.85E-06,796.9805298,0.002514112,796.9805298,0.008881303,796.9805298,0.013162983,796.9805298,0.000703399,796.9805298,0.005368453,796.9805298,0.002477585,796.9805298,0.000740452,796.9805298,0.001912415,796.9805298,0.002305534,796.9805298,0.002189327,796.9805298,0.001233404,796.9805298,-0.000467715,796.9805298,0.005630454,796.9805298,0.003678216,796.9805298,0.003647907,796.9805298,0.002302801
796.0072632,0.001262662,796.0072632,0.001348368,796.0072632,0.000187688,796.0072632,0.00371111,796.0072632,0.007181655,796.0072632,0.002757437,796.0072632,0.002009848,796.0072632,0.002510076,796.0072632,0.002308032,796.0072632,-0.000220079,796.0072632,0.002202492,796.0072632,0.007242637,796.0072632,0.013411922,796.0072632,0.000172383,796.0072632,0.004399657,796.0072632,0.002370494,796.0072632,0.001570386,796.0072632,0.0013519,796.0072632,0.002336841,796.0072632,0.002475476,796.0072632,0.001681698,796.0072632,-0.000174954,796.0072632,0.006660669,796.0072632,0.005266621,796.0072632,0.004333739,796.0072632,0.003390386
795.0336304,0.002961984,795.0336304,0.000930484,795.0336304,-0.000541714,795.0336304,0.002582515,795.0336304,0.008110236,795.0336304,0.002107746,795.0336304,0.003305189,795.0336304,0.001832081,795.0336304,0.004177391,795.0336304,0.000789748,795.0336304,0.002023736,795.0336304,0.007130734,795.0336304,0.013250403,795.0336304,0.00045705,795.0336304,0.004884426,795.0336304,0.001655686,795.0336304,6.34E-06,795.0336304,0.00252437,795.0336304,0.003290765,795.0336304,0.00107399,795.0336304,-0.000422512,795.0336304,-0.000270579,795.0336304,0.005753356,795.0336304,0.004559434,795.0336304,0.003863583,795.0336304,0.002996858
794.0596313,0.001063532,794.0596313,0.000351907,794.0596313,-0.000632089,794.0596313,0.002912258,794.0596313,0.007608183,794.0596313,0.003344785,794.0596313,0.003343742,794.0596313,0.001956227,794.0596313,0.003221051,794.0596313,-0.000314763,794.0596313,0.002113495,794.0596313,0.007526474,794.0596313,0.012507007,794.0596313,-3.84E-05,794.0596313,0.003860814,794.0596313,0.000868825,794.0596313,0.000726968,794.0596313,0.002435776,794.0596313,0.003607186,794.0596313,0.004415216,794.0596313,0.000648824,794.0596313,-0.000974806,794.0596313,0.005253756,794.0596313,0.003759701,794.0596313,0.003790486,794.0596313,0.002230149
792.9459839,0.002902252,792.9459839,0.000952016,792.9459839,-0.001124272,792.9459839,0.003642869,792.9459839,0.007523418,792.9459839,0.003256206,792.9459839,0.003878365,792.9459839,0.001313783,792.9459839,0.002024256,792.9459839,7.00E-05,792.9459839,0.000833733,792.9459839,0.007227898,792.9459839,0.011863167,792.9459839,-0.000287446,792.9459839,0.003820282,792.9459839,0.001497571,792.9459839,6.69E-05,792.9459839,0.002071695,792.9459839,0.001588599,792.9459839,0.001967825,792.9459839,0.001061378,792.9459839,0.000216538,792.9459839,0.005890672,792.9459839,0.004756824,792.9459839,0.001934853,792.9459839,0.001675565
791.9711304,0.001067424,791.9711304,0.000648435,791.9711304,-0.002135305,791.9711304,0.003087627,791.9711304,0.007360783,791.9711304,0.004512507,791.9711304,0.002860194,791.9711304,0.002522886,791.9711304,0.002407897,791.9711304,0.000642836,791.9711304,0.001916679,791.9711304,0.008521548,791.9711304,0.01252254,791.9711304,-0.001148645,791.9711304,0.004147806,791.9711304,0.001764317,791.9711304,-0.000504949,791.9711304,0.001586962,791.9711304,0.000351415,791.9711304,0.001360573,791.9711304,0.000323902,791.9711304,6.98E-05,791.9711304,0.007495632,791.9711304,0.004325608,791.9711304,0.004456092,791.9711304,0.00210811
